
  MMLU High School Biology Benchmark
  310 questions, model: llama3.2:3b

  --- Baseline: 3B model alone ---

  [1/310] Q0: CORRECT (got A, correct A) — 100.0% — 0.5s (~3m left)
  [2/310] Q1: WRONG (got B, correct A) — 50.0% — 0.2s (~2m left)
  [3/310] Q2: CORRECT (got C, correct C) — 66.7% — 0.1s (~1m left)
  [4/310] Q3: WRONG (got C, correct A) — 50.0% — 0.2s (~1m left)
  [5/310] Q4: WRONG (got A, correct C) — 40.0% — 0.2s (~1m left)
  [6/310] Q5: WRONG (got D, correct C) — 33.3% — 0.2s (~1m left)
  [7/310] Q6: CORRECT (got B, correct B) — 42.9% — 0.1s (~1m left)
  [8/310] Q7: CORRECT (got B, correct B) — 50.0% — 0.2s (~1m left)
  [9/310] Q8: CORRECT (got A, correct A) — 55.6% — 0.2s (~1m left)
  [10/310] Q9: WRONG (got B, correct C) — 50.0% — 0.2s (~1m left)
  [11/310] Q10: CORRECT (got C, correct C) — 54.5% — 0.2s (~1m left)
  [12/310] Q11: CORRECT (got B, correct B) — 58.3% — 0.2s (~1m left)
  [13/310] Q12: CORRECT (got D, correct D) — 61.5% — 0.2s (~1m left)
  [14/310] Q13: WRONG (got B, correct D) — 57.1% — 0.2s (~1m left)
  [15/310] Q14: CORRECT (got D, correct D) — 60.0% — 0.2s (~1m left)
  [16/310] Q15: CORRECT (got B, correct B) — 62.5% — 0.2s (~1m left)
  [17/310] Q16: WRONG (got A, correct C) — 58.8% — 0.2s (~1m left)
  [18/310] Q17: CORRECT (got B, correct B) — 61.1% — 0.2s (~1m left)
  [19/310] Q18: CORRECT (got B, correct B) — 63.2% — 0.2s (~1m left)
  [20/310] Q19: CORRECT (got C, correct C) — 65.0% — 0.2s (~1m left)
  [21/310] Q20: WRONG (got B, correct D) — 61.9% — 0.2s (~1m left)
  [22/310] Q21: CORRECT (got C, correct C) — 63.6% — 0.2s (~1m left)
  [23/310] Q22: WRONG (got B, correct A) — 60.9% — 0.2s (~1m left)
  [24/310] Q23: CORRECT (got B, correct B) — 62.5% — 0.2s (~1m left)
  [25/310] Q24: WRONG (got D, correct B) — 60.0% — 0.2s (~1m left)
  [26/310] Q25: CORRECT (got C, correct C) — 61.5% — 0.2s (~1m left)
  [27/310] Q26: CORRECT (got B, correct B) — 63.0% — 0.2s (~1m left)
  [28/310] Q27: CORRECT (got C, correct C) — 64.3% — 0.2s (~1m left)
  [29/310] Q28: CORRECT (got C, correct C) — 65.5% — 0.2s (~1m left)
  [30/310] Q29: CORRECT (got C, correct C) — 66.7% — 0.2s (~1m left)
  [31/310] Q30: CORRECT (got D, correct D) — 67.7% — 0.2s (~1m left)
  [32/310] Q31: CORRECT (got B, correct B) — 68.8% — 0.2s (~1m left)
  [33/310] Q32: WRONG (got B, correct C) — 66.7% — 0.2s (~1m left)
  [34/310] Q33: CORRECT (got C, correct C) — 67.6% — 0.2s (~1m left)
  [35/310] Q34: WRONG (got A, correct D) — 65.7% — 0.2s (~1m left)
  [36/310] Q35: CORRECT (got C, correct C) — 66.7% — 0.2s (~1m left)
  [37/310] Q36: CORRECT (got B, correct B) — 67.6% — 0.2s (~1m left)
  [38/310] Q37: CORRECT (got D, correct D) — 68.4% — 0.2s (~1m left)
  [39/310] Q38: WRONG (got D, correct C) — 66.7% — 0.2s (~1m left)
  [40/310] Q39: CORRECT (got B, correct B) — 67.5% — 0.2s (~1m left)
  [41/310] Q40: WRONG (got C, correct A) — 65.9% — 0.2s (~1m left)
  [42/310] Q41: CORRECT (got D, correct D) — 66.7% — 0.2s (~1m left)
