[FastRecognizer] Loading graph into C++ engine...
[FastRecognizer] Loaded 952883 segments.

  MMLU High School Biology Benchmark
  310 questions, model: wavefront_only

  [1/310] Q0: WRONG (got D, correct A) — 0.0% — 56.4s (~290m left)
  [2/310] Q1: WRONG (got C, correct A) — 0.0% — 63.0s (~307m left)
  [3/310] Q2: WRONG (got D, correct C) — 0.0% — 40.9s (~273m left)
  [4/310] Q3: WRONG (got C, correct A) — 0.0% — 41.0s (~257m left)
  [5/310] Q4: WRONG (got B, correct C) — 0.0% — 47.5s (~253m left)
  [6/310] Q5: WRONG (got B, correct C) — 0.0% — 62.6s (~263m left)
  [7/310] Q6: WRONG (got D, correct B) — 0.0% — 26.7s (~244m left)
  [8/310] Q7: WRONG (got C, correct B) — 0.0% — 51.1s (~245m left)
  [9/310] Q8: WRONG (got C, correct A) — 0.0% — 103.1s (~274m left)
  [10/310] Q9: CORRECT (got C, correct C) — 10.0% — 96.0s (~294m left)
  [11/310] Q10: WRONG (got D, correct C) — 9.1% — 48.3s (~288m left)
  [12/310] Q11: WRONG (got C, correct B) — 8.3% — 92.7s (~302m left)
  [13/310] Q12: WRONG (got C, correct D) — 7.7% — 68.1s (~304m left)
  [14/310] Q13: WRONG (got A, correct D) — 7.1% — 36.0s (~294m left)
  [15/310] Q14: CORRECT (got D, correct D) — 13.3% — 66.5s (~295m left)
  [16/310] Q15: CORRECT (got B, correct B) — 18.8% — 91.4s (~304m left)
  [17/310] Q16: WRONG (got D, correct C) — 17.6% — 48.6s (~299m left)
  [18/310] Q17: WRONG (got A, correct B) — 16.7% — 41.9s (~292m left)
  [19/310] Q18: WRONG (got D, correct B) — 15.8% — 91.1s (~299m left)
  [20/310] Q19: CORRECT (got C, correct C) — 20.0% — 87.0s (~304m left)
  [21/310] Q20: WRONG (got A, correct D) — 19.0% — 83.0s (~308m left)
  [22/310] Q21: CORRECT (got C, correct C) — 22.7% — 40.2s (~302m left)
  [23/310] Q22: WRONG (got D, correct A) — 21.7% — 62.1s (~301m left)
  [24/310] Q23: WRONG (got C, correct B) — 20.8% — 45.7s (~296m left)
  [25/310] Q24: WRONG (got A, correct B) — 20.0% — 73.1s (~297m left)
  [26/310] Q25: CORRECT (got C, correct C) — 23.1% — 57.8s (~295m left)
  [27/310] Q26: WRONG (got A, correct B) — 22.2% — 56.2s (~293m left)
  [28/310] Q27: WRONG (got A, correct C) — 21.4% — 34.8s (~288m left)
  [29/310] Q28: WRONG (got B, correct C) — 20.7% — 50.0s (~285m left)
  [30/310] Q29: WRONG (got D, correct C) — 20.0% — 46.5s (~281m left)
  [31/310] Q30: WRONG (got C, correct D) — 19.4% — 73.9s (~282m left)
  [32/310] Q31: WRONG (got D, correct B) — 18.8% — 24.5s (~276m left)
  [33/310] Q32: ERROR (got None, correct C) — 18.2% — 20.2s (~270m left)
  [34/310] Q33: WRONG (got A, correct C) — 17.6% — 38.4s (~266m left)
  [35/310] Q34: WRONG (got A, correct D) — 17.1% — 59.4s (~265m left)
  [36/310] Q35: ERROR (got None, correct C) — 16.7% — 17.2s (~259m left)
  [37/310] Q36: WRONG (got C, correct B) — 16.2% — 73.8s (~260m left)
  [38/310] Q37: CORRECT (got D, correct D) — 18.4% — 20.8s (~255m left)
  [39/310] Q38: CORRECT (got C, correct C) — 20.5% — 94.0s (~258m left)
  [40/310] Q39: WRONG (got A, correct B) — 20.0% — 76.8s (~260m left)
  [41/310] Q40: WRONG (got C, correct A) — 19.5% — 51.5s (~258m left)
  [42/310] Q41: CORRECT (got D, correct D) — 21.4% — 64.9s (~258m left)
  [43/310] Q42: CORRECT (got B, correct B) — 23.3% — 87.6s (~260m left)
  [44/310] Q43: WRONG (got D, correct A) — 22.7% — 48.1s (~258m left)
  [45/310] Q44: WRONG (got C, correct B) — 22.2% — 95.7s (~261m left)
  [46/310] Q45: CORRECT (got C, correct C) — 23.9% — 36.8s (~258m left)
  [47/310] Q46: CORRECT (got D, correct D) — 25.5% — 82.0s (~259m left)
  [48/310] Q47: WRONG (got C, correct A) — 25.0% — 70.6s (~259m left)
  [49/310] Q48: WRONG (got A, correct B) — 24.5% — 23.7s (~255m left)
  [50/310] Q49: WRONG (got D, correct C) — 24.0% — 54.4s (~253m left)
  [51/310] Q50: WRONG (got C, correct D) — 23.5% — 43.7s (~251m left)
  [52/310] Q51: WRONG (got B, correct A) — 23.1% — 58.3s (~250m left)
  [53/310] Q52: CORRECT (got A, correct A) — 24.5% — 15.9s (~246m left)
  [54/310] Q53: WRONG (got C, correct D) — 24.1% — 56.3s (~245m left)
  [55/310] Q54: ERROR (got None, correct D) — 23.6% — 18.8s (~241m left)
  [56/310] Q55: WRONG (got A, correct D) — 23.2% — 44.6s (~239m left)
  [57/310] Q56: WRONG (got D, correct C) — 22.8% — 36.7s (~237m left)
  [58/310] Q57: WRONG (got D, correct B) — 22.4% — 44.7s (~235m left)
  [59/310] Q58: CORRECT (got C, correct C) — 23.7% — 92.7s (~236m left)
  [60/310] Q59: WRONG (got C, correct D) — 23.3% — 56.2s (~236m left)
  [61/310] Q60: WRONG (got B, correct D) — 23.0% — 80.6s (~236m left)
  [62/310] Q61: WRONG (got A, correct D) — 22.6% — 66.2s (~236m left)
  [63/310] Q62: WRONG (got D, correct A) — 22.2% — 86.3s (~237m left)
  [64/310] Q63: WRONG (got A, correct C) — 21.9% — 36.7s (~235m left)
  [65/310] Q64: WRONG (got A, correct D) — 21.5% — 33.8s (~232m left)
  [66/310] Q65: WRONG (got A, correct B) — 21.2% — 24.1s (~229m left)
  [67/310] Q66: CORRECT (got C, correct C) — 22.4% — 28.4s (~227m left)
  [68/310] Q67: CORRECT (got C, correct C) — 23.5% — 77.3s (~227m left)
  [69/310] Q68: CORRECT (got C, correct C) — 24.6% — 45.7s (~225m left)
  [70/310] Q69: CORRECT (got C, correct C) — 25.7% — 57.7s (~224m left)
  [71/310] Q70: WRONG (got C, correct B) — 25.4% — 59.0s (~224m left)
  [72/310] Q71: CORRECT (got D, correct D) — 26.4% — 39.9s (~222m left)
  [73/310] Q72: WRONG (got C, correct D) — 26.0% — 73.5s (~222m left)
  [74/310] Q73: WRONG (got D, correct A) — 25.7% — 42.2s (~220m left)
  [75/310] Q74: CORRECT (got D, correct D) — 26.7% — 81.1s (~221m left)
  [76/310] Q75: CORRECT (got D, correct D) — 27.6% — 95.9s (~222m left)
  [77/310] Q76: WRONG (got B, correct D) — 27.3% — 55.2s (~221m left)
  [78/310] Q77: ERROR (got None, correct D) — 26.9% — 36.1s (~219m left)
  [79/310] Q78: WRONG (got B, correct C) — 26.6% — 83.6s (~219m left)
  [80/310] Q79: CORRECT (got D, correct D) — 27.5% — 72.4s (~219m left)
  [81/310] Q80: WRONG (got D, correct C) — 27.2% — 57.2s (~218m left)
  [82/310] Q81: WRONG (got C, correct B) — 26.8% — 95.6s (~219m left)
  [83/310] Q82: CORRECT (got C, correct C) — 27.7% — 63.9s (~218m left)
  [84/310] Q83: WRONG (got D, correct C) — 27.4% — 89.6s (~219m left)
  [85/310] Q84: WRONG (got A, correct D) — 27.1% — 32.5s (~216m left)
  [86/310] Q85: CORRECT (got C, correct C) — 27.9% — 90.8s (~217m left)
  [87/310] Q86: WRONG (got A, correct D) — 27.6% — 42.8s (~215m left)
  [88/310] Q87: WRONG (got B, correct C) — 27.3% — 78.9s (~215m left)
  [89/310] Q88: WRONG (got B, correct C) — 27.0% — 53.0s (~214m left)
  [90/310] Q89: WRONG (got A, correct B) — 26.7% — 62.3s (~213m left)
  [91/310] Q90: CORRECT (got C, correct C) — 27.5% — 53.2s (~212m left)
  [92/310] Q91: WRONG (got A, correct C) — 27.2% — 37.2s (~210m left)
  [93/310] Q92: WRONG (got A, correct C) — 26.9% — 33.4s (~208m left)
  [94/310] Q93: CORRECT (got D, correct D) — 27.7% — 65.2s (~208m left)
  [95/310] Q94: WRONG (got A, correct B) — 27.4% — 49.8s (~206m left)
  [96/310] Q95: ERROR (got None, correct C) — 27.1% — 18.1s (~204m left)
  [97/310] Q96: WRONG (got A, correct B) — 26.8% — 75.1s (~204m left)
  [98/310] Q97: WRONG (got D, correct B) — 26.5% — 65.7s (~203m left)
  [99/310] Q98: WRONG (got C, correct B) — 26.3% — 59.3s (~202m left)
  [100/310] Q99: WRONG (got D, correct B) — 26.0% — 48.4s (~201m left)
  [101/310] Q100: WRONG (got D, correct C) — 25.7% — 51.5s (~200m left)
  [102/310] Q101: WRONG (got C, correct D) — 25.5% — 105.9s (~200m left)
  [103/310] Q102: CORRECT (got D, correct D) — 26.2% — 62.8s (~200m left)
  [104/310] Q103: WRONG (got A, correct D) — 26.0% — 73.4s (~199m left)
  [105/310] Q104: WRONG (got C, correct D) — 25.7% — 19.0s (~197m left)
  [106/310] Q105: WRONG (got B, correct C) — 25.5% — 90.9s (~197m left)
  [107/310] Q106: WRONG (got A, correct B) — 25.2% — 112.9s (~198m left)
  [108/310] Q107: CORRECT (got C, correct C) — 25.9% — 55.5s (~197m left)
  [109/310] Q108: CORRECT (got B, correct B) — 26.6% — 31.2s (~195m left)
  [110/310] Q109: WRONG (got B, correct A) — 26.4% — 85.8s (~195m left)
  [111/310] Q110: WRONG (got B, correct C) — 26.1% — 46.0s (~193m left)
  [112/310] Q111: CORRECT (got C, correct C) — 26.8% — 56.7s (~192m left)
  [113/310] Q112: WRONG (got A, correct D) — 26.5% — 90.9s (~192m left)
  [114/310] Q113: CORRECT (got B, correct B) — 27.2% — 72.0s (~192m left)
  [115/310] Q114: CORRECT (got B, correct B) — 27.8% — 19.3s (~190m left)
  [116/310] Q115: ERROR (got None, correct B) — 27.6% — 16.3s (~188m left)
  [117/310] Q116: CORRECT (got B, correct B) — 28.2% — 73.1s (~187m left)
  [118/310] Q117: WRONG (got C, correct A) — 28.0% — 68.6s (~186m left)
  [119/310] Q118: WRONG (got D, correct C) — 27.7% — 47.5s (~185m left)
  [120/310] Q119: CORRECT (got D, correct D) — 28.3% — 62.3s (~184m left)
  [121/310] Q120: CORRECT (got A, correct A) — 28.9% — 29.2s (~182m left)
  [122/310] Q121: WRONG (got D, correct A) — 28.7% — 53.6s (~181m left)
  [123/310] Q122: WRONG (got A, correct D) — 28.5% — 80.7s (~181m left)
  [124/310] Q123: ERROR (got None, correct D) — 28.2% — 19.1s (~179m left)
  [125/310] Q124: WRONG (got D, correct C) — 28.0% — 42.4s (~178m left)
  [126/310] Q125: WRONG (got D, correct C) — 27.8% — 66.4s (~177m left)
  [127/310] Q126: WRONG (got B, correct A) — 27.6% — 33.1s (~175m left)
  [128/310] Q127: CORRECT (got B, correct B) — 28.1% — 34.1s (~174m left)
  [129/310] Q128: CORRECT (got C, correct C) — 28.7% — 75.2s (~173m left)
  [130/310] Q129: WRONG (got D, correct A) — 28.5% — 74.1s (~173m left)
  [131/310] Q130: WRONG (got D, correct B) — 28.2% — 47.4s (~172m left)
  [132/310] Q131: CORRECT (got D, correct D) — 28.8% — 44.6s (~170m left)
  [133/310] Q132: WRONG (got A, correct B) — 28.6% — 66.2s (~170m left)
  [134/310] Q133: WRONG (got D, correct C) — 28.4% — 26.3s (~168m left)
  [135/310] Q134: CORRECT (got B, correct B) — 28.9% — 75.9s (~167m left)
  [136/310] Q135: WRONG (got C, correct D) — 28.7% — 60.7s (~167m left)
  [137/310] Q136: CORRECT (got D, correct D) — 29.2% — 22.9s (~165m left)
  [138/310] Q137: WRONG (got D, correct A) — 29.0% — 29.0s (~163m left)
  [139/310] Q138: WRONG (got D, correct C) — 28.8% — 30.3s (~162m left)
  [140/310] Q139: WRONG (got B, correct D) — 28.6% — 75.0s (~161m left)
  [141/310] Q140: WRONG (got B, correct A) — 28.4% — 36.8s (~160m left)
  [142/310] Q141: WRONG (got D, correct C) — 28.2% — 65.7s (~159m left)
  [143/310] Q142: WRONG (got C, correct D) — 28.0% — 48.8s (~158m left)
