
  MMLU High School Biology Benchmark
  310 questions, model: wavefront_only

  [1/310] Q0: WRONG (got D, correct A) — 0.0% — 314.4s (~1619m left)
  [2/310] Q1: WRONG (got C, correct A) — 0.0% — 319.1s (~1626m left)
  [3/310] Q2: WRONG (got D, correct C) — 0.0% — 166.4s (~1364m left)
  [4/310] Q3: WRONG (got C, correct A) — 0.0% — 272.3s (~1367m left)
  [5/310] Q4: WRONG (got B, correct C) — 0.0% — 220.3s (~1314m left)
  [6/310] Q5: WRONG (got B, correct C) — 0.0% — 452.6s (~1474m left)
  [7/310] Q6: WRONG (got D, correct B) — 0.0% — 147.2s (~1365m left)
  [8/310] Q7: WRONG (got C, correct B) — 0.0% — 278.9s (~1366m left)
  [9/310] Q8: CORRECT (got A, correct A) — 11.1% — 747.4s (~1627m left)
  [10/310] Q9: CORRECT (got C, correct C) — 20.0% — 649.1s (~1784m left)
  [11/310] Q10: WRONG (got D, correct C) — 18.2% — 313.5s (~1758m left)
  [12/310] Q11: WRONG (got C, correct B) — 16.7% — 794.5s (~1935m left)
  [13/310] Q12: WRONG (got C, correct D) — 15.4% — 426.8s (~1943m left)
  [14/310] Q13: WRONG (got B, correct D) — 14.3% — 177.3s (~1860m left)
  [15/310] Q14: CORRECT (got D, correct D) — 20.0% — 355.1s (~1847m left)
  [16/310] Q15: CORRECT (got B, correct B) — 25.0% — 606.6s (~1911m left)
  [17/310] Q16: WRONG (got D, correct C) — 23.5% — 289.2s (~1876m left)
  [18/310] Q17: WRONG (got A, correct B) — 22.2% — 242.4s (~1831m left)
  [19/310] Q18: WRONG (got D, correct B) — 21.1% — 755.5s (~1922m left)
  [20/310] Q19: CORRECT (got C, correct C) — 25.0% — 686.1s (~1985m left)
  [21/310] Q20: WRONG (got A, correct D) — 23.8% — 628.2s (~2028m left)
  [22/310] Q21: CORRECT (got C, correct C) — 27.3% — 322.7s (~2000m left)
  [23/310] Q22: WRONG (got D, correct A) — 26.1% — 350.6s (~1979m left)
  [24/310] Q23: WRONG (got C, correct B) — 25.0% — 262.4s (~1942m left)
  [25/310] Q24: WRONG (got A, correct B) — 24.0% — 455.0s (~1944m left)
  [26/310] Q25: CORRECT (got C, correct C) — 26.9% — 263.8s (~1911m left)
  [27/310] Q26: CORRECT (got B, correct B) — 29.6% — 316.3s (~1889m left)
  [28/310] Q27: WRONG (got D, correct C) — 28.6% — 199.1s (~1849m left)
  [29/310] Q28: CORRECT (got C, correct C) — 31.0% — 396.5s (~1843m left)
  [30/310] Q29: CORRECT (got C, correct C) — 33.3% — 297.8s (~1821m left)
  [31/310] Q30: WRONG (got C, correct D) — 32.3% — 471.9s (~1827m left)
  [32/310] Q31: WRONG (got A, correct B) — 31.2% — 125.4s (~1782m left)
  [33/310] Q32: ERROR (got None, correct C) — 30.3% — 137.3s (~1741m left)
  [34/310] Q33: WRONG (got A, correct C) — 29.4% — 354.5s (~1731m left)
  [35/310] Q34: WRONG (got A, correct D) — 28.6% — 377.3s (~1725m left)
  [36/310] Q35: ERROR (got None, correct C) — 27.8% — 140.6s (~1689m left)
  [37/310] Q36: WRONG (got D, correct B) — 27.0% — 380.9s (~1684m left)
  [38/310] Q37: CORRECT (got D, correct D) — 28.9% — 73.2s (~1643m left)
  [39/310] Q38: CORRECT (got C, correct C) — 30.8% — 629.0s (~1667m left)
  [40/310] Q39: WRONG (got A, correct B) — 30.0% — 491.7s (~1675m left)
  [41/310] Q40: WRONG (got C, correct A) — 29.3% — 291.0s (~1660m left)
  [42/310] Q41: CORRECT (got D, correct D) — 31.0% — 312.9s (~1648m left)
  [43/310] Q42: CORRECT (got B, correct B) — 32.6% — 438.1s (~1649m left)
  [44/310] Q43: CORRECT (got A, correct A) — 34.1% — 336.5s (~1639m left)
  [45/310] Q44: WRONG (got D, correct B) — 33.3% — 939.1s (~1689m left)
  [46/310] Q45: CORRECT (got C, correct C) — 34.8% — 184.9s (~1664m left)
  [47/310] Q46: CORRECT (got D, correct D) — 36.2% — 367.7s (~1656m left)
  [48/310] Q47: WRONG (got C, correct A) — 35.4% — 378.9s (~1650m left)
  [49/310] Q48: WRONG (got C, correct B) — 34.7% — 127.2s (~1622m left)
  [50/310] Q49: WRONG (got D, correct C) — 34.0% — 295.3s (~1609m left)
  [51/310] Q50: WRONG (got C, correct D) — 33.3% — 341.0s (~1600m left)
  [52/310] Q51: WRONG (got B, correct A) — 32.7% — 306.3s (~1588m left)
  [53/310] Q52: CORRECT (got A, correct A) — 34.0% — 57.2s (~1557m left)
  [54/310] Q53: WRONG (got C, correct D) — 33.3% — 254.7s (~1542m left)
  [55/310] Q54: ERROR (got None, correct D) — 32.7% — 143.1s (~1519m left)
  [56/310] Q55: WRONG (got A, correct D) — 32.1% — 336.1s (~1512m left)
  [57/310] Q56: WRONG (got D, correct C) — 31.6% — 179.9s (~1493m left)
  [58/310] Q57: WRONG (got D, correct B) — 31.0% — 225.3s (~1478m left)
  [59/310] Q58: CORRECT (got C, correct C) — 32.2% — 648.9s (~1493m left)
  [60/310] Q59: WRONG (got C, correct D) — 31.7% — 376.0s (~1488m left)
  [61/310] Q60: WRONG (got B, correct D) — 31.1% — 554.5s (~1496m left)
  [62/310] Q61: WRONG (got A, correct D) — 30.6% — 365.2s (~1490m left)
  [63/310] Q62: CORRECT (got A, correct A) — 31.7% — 532.7s (~1495m left)
  [64/310] Q63: WRONG (got A, correct C) — 31.2% — 141.1s (~1475m left)
  [65/310] Q64: WRONG (got A, correct D) — 30.8% — 126.6s (~1454m left)
  [66/310] Q65: WRONG (got A, correct B) — 30.3% — 127.7s (~1434m left)
  [67/310] Q66: CORRECT (got C, correct C) — 31.3% — 117.5s (~1414m left)
  [68/310] Q67: CORRECT (got C, correct C) — 32.4% — 561.8s (~1421m left)
  [69/310] Q68: CORRECT (got C, correct C) — 33.3% — 248.6s (~1409m left)
  [70/310] Q69: CORRECT (got C, correct C) — 34.3% — 353.2s (~1403m left)
  [71/310] Q70: WRONG (got C, correct B) — 33.8% — 365.6s (~1398m left)
  [72/310] Q71: CORRECT (got D, correct D) — 34.7% — 279.1s (~1388m left)
  [73/310] Q72: WRONG (got C, correct D) — 34.2% — 347.3s (~1382m left)
  [74/310] Q73: WRONG (got D, correct A) — 33.8% — 318.2s (~1375m left)
  [75/310] Q74: CORRECT (got D, correct D) — 34.7% — 488.2s (~1376m left)
  [76/310] Q75: CORRECT (got D, correct D) — 35.5% — 743.7s (~1391m left)
  [77/310] Q76: WRONG (got B, correct D) — 35.1% — 266.0s (~1380m left)
  [78/310] Q77: ERROR (got None, correct D) — 34.6% — 158.8s (~1364m left)
  [79/310] Q78: WRONG (got B, correct C) — 34.2% — 615.9s (~1371m left)
  [80/310] Q79: CORRECT (got D, correct D) — 35.0% — 368.4s (~1366m left)
  [81/310] Q80: WRONG (got D, correct C) — 34.6% — 280.8s (~1357m left)
  [82/310] Q81: WRONG (got C, correct B) — 34.1% — 797.8s (~1371m left)
  [83/310] Q82: CORRECT (got C, correct C) — 34.9% — 361.3s (~1365m left)
