[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 209336 + eval 13753 pairs)...
[hamroby-extract] train 5000/209336 (404/s, eta 506s, kept 5000)
[hamroby-extract] train 10000/209336 (405/s, eta 492s, kept 10000)
[hamroby-extract] train 15000/209336 (394/s, eta 494s, kept 15000)
[hamroby-extract] train 20000/209336 (389/s, eta 487s, kept 20000)
[hamroby-extract] train 25000/209336 (392/s, eta 470s, kept 25000)
[hamroby-extract] train 30000/209336 (394/s, eta 455s, kept 30000)
[hamroby-extract] train 35000/209336 (393/s, eta 443s, kept 35000)
[hamroby-extract] train 40000/209336 (391/s, eta 434s, kept 40000)
[hamroby-extract] train 45000/209336 (389/s, eta 423s, kept 45000)
[hamroby-extract] train 50000/209336 (389/s, eta 409s, kept 50000)
[hamroby-extract] train 55000/209336 (388/s, eta 398s, kept 55000)
[hamroby-extract] train 60000/209336 (388/s, eta 385s, kept 60000)
[hamroby-extract] train 65000/209336 (388/s, eta 372s, kept 65000)
[hamroby-extract] train 70000/209336 (387/s, eta 360s, kept 70000)
[hamroby-extract] train 75000/209336 (387/s, eta 347s, kept 75000)
[hamroby-extract] train 80000/209336 (387/s, eta 334s, kept 80000)
[hamroby-extract] train 85000/209336 (386/s, eta 322s, kept 85000)
[hamroby-extract] train 90000/209336 (386/s, eta 309s, kept 90000)
[hamroby-extract] train 95000/209336 (387/s, eta 296s, kept 95000)
[hamroby-extract] train 100000/209336 (387/s, eta 283s, kept 100000)
[hamroby-extract] train 105000/209336 (387/s, eta 269s, kept 105000)
[hamroby-extract] train 110000/209336 (388/s, eta 256s, kept 110000)
[hamroby-extract] train 115000/209336 (388/s, eta 243s, kept 115000)
[hamroby-extract] train 120000/209336 (389/s, eta 230s, kept 120000)
[hamroby-extract] train 125000/209336 (390/s, eta 216s, kept 125000)
[hamroby-extract] train 130000/209336 (390/s, eta 203s, kept 130000)
[hamroby-extract] train 135000/209336 (391/s, eta 190s, kept 135000)
[hamroby-extract] train 140000/209336 (391/s, eta 178s, kept 140000)
[hamroby-extract] train 145000/209336 (391/s, eta 165s, kept 145000)
[hamroby-extract] train 150000/209336 (391/s, eta 152s, kept 150000)
[hamroby-extract] train 155000/209336 (391/s, eta 139s, kept 155000)
[hamroby-extract] train 160000/209336 (391/s, eta 126s, kept 160000)
[hamroby-extract] train 165000/209336 (391/s, eta 113s, kept 165000)
[hamroby-extract] train 170000/209336 (391/s, eta 101s, kept 170000)
[hamroby-extract] train 175000/209336 (391/s, eta 88s, kept 175000)
[hamroby-extract] train 180000/209336 (391/s, eta 75s, kept 180000)
[hamroby-extract] train 185000/209336 (391/s, eta 62s, kept 185000)
[hamroby-extract] train 190000/209336 (391/s, eta 49s, kept 190000)
[hamroby-extract] train 195000/209336 (392/s, eta 37s, kept 195000)
[hamroby-extract] train 200000/209336 (391/s, eta 24s, kept 200000)
[hamroby-extract] train 205000/209336 (391/s, eta 11s, kept 205000)
[hamroby-extract] train 209336/209336 (391/s, eta 0s, kept 209336)
[hamroby-extract] eval 5000/13753 (406/s, eta 22s, kept 5000)
[hamroby-extract] eval 10000/13753 (403/s, eta 9s, kept 10000)
[hamroby-extract] eval 13753/13753 (403/s, eta 0s, kept 13753)
[hamroby-extract] usable train_examples=209336 eval_examples=13753
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9402 elapsed=0.6s
[hamroby-extract] step=   50/15000 loss=0.8832 elapsed=2.0s
[hamroby-extract] step=  100/15000 loss=0.3709 elapsed=3.3s
[hamroby-extract] step=  150/15000 loss=0.2443 elapsed=4.6s
[hamroby-extract] step=  200/15000 loss=0.1956 elapsed=6.2s
[hamroby-extract] step=  250/15000 loss=0.1767 elapsed=7.8s
[hamroby-extract] step=  300/15000 loss=0.1806 elapsed=9.3s
[hamroby-extract] step=  350/15000 loss=0.1604 elapsed=10.7s
[hamroby-extract] step=  400/15000 loss=0.1520 elapsed=12.0s
[hamroby-extract] step=  450/15000 loss=0.1578 elapsed=13.4s
[hamroby-extract] step=  500/15000 loss=0.1549 elapsed=14.7s
[hamroby-extract] step=  550/15000 loss=0.1422 elapsed=16.2s
[hamroby-extract] step=  600/15000 loss=0.1455 elapsed=17.8s
[hamroby-extract] step=  650/15000 loss=0.1403 elapsed=19.3s
[hamroby-extract] step=  700/15000 loss=0.1358 elapsed=20.7s
[hamroby-extract] step=  750/15000 loss=0.1217 elapsed=22.4s
[hamroby-extract] step=  800/15000 loss=0.1333 elapsed=23.8s
[hamroby-extract] step=  850/15000 loss=0.1424 elapsed=25.2s
[hamroby-extract] step=  900/15000 loss=0.1381 elapsed=26.5s
[hamroby-extract] step=  950/15000 loss=0.1304 elapsed=27.8s
[hamroby-extract] step= 1000/15000 loss=0.1358 elapsed=29.2s
[hamroby-extract] step= 1050/15000 loss=0.1278 elapsed=30.5s
[hamroby-extract] step= 1100/15000 loss=0.1254 elapsed=31.8s
[hamroby-extract] step= 1150/15000 loss=0.1221 elapsed=33.2s
[hamroby-extract] step= 1200/15000 loss=0.1140 elapsed=34.4s
[hamroby-extract] step= 1250/15000 loss=0.1315 elapsed=35.8s
[hamroby-extract] step= 1300/15000 loss=0.1234 elapsed=37.2s
[hamroby-extract] step= 1350/15000 loss=0.1228 elapsed=38.5s
[hamroby-extract] step= 1400/15000 loss=0.1289 elapsed=40.0s
[hamroby-extract] step= 1450/15000 loss=0.1220 elapsed=41.6s
[hamroby-extract] step= 1500/15000 loss=0.1222 elapsed=43.2s
[hamroby-extract] step= 1550/15000 loss=0.1244 elapsed=44.8s
[hamroby-extract] step= 1600/15000 loss=0.1188 elapsed=46.5s
[hamroby-extract] step= 1650/15000 loss=0.1220 elapsed=47.8s
[hamroby-extract] step= 1700/15000 loss=0.1327 elapsed=49.2s
[hamroby-extract] step= 1750/15000 loss=0.1212 elapsed=50.6s
[hamroby-extract] step= 1800/15000 loss=0.1288 elapsed=52.1s
[hamroby-extract] step= 1850/15000 loss=0.1249 elapsed=53.5s
[hamroby-extract] step= 1900/15000 loss=0.1152 elapsed=54.8s
[hamroby-extract] step= 1950/15000 loss=0.1160 elapsed=56.3s
[hamroby-extract] step= 2000/15000 loss=0.1295 elapsed=57.9s
[hamroby-extract] step= 2050/15000 loss=0.1175 elapsed=59.2s
[hamroby-extract] step= 2100/15000 loss=0.1186 elapsed=60.6s
[hamroby-extract] step= 2150/15000 loss=0.1178 elapsed=62.0s
[hamroby-extract] step= 2200/15000 loss=0.1251 elapsed=63.4s
