[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 223340 + eval 14840 pairs)...
[hamroby-extract] train 5000/223340 (384/s, eta 568s, kept 5000)
[hamroby-extract] train 10000/223340 (392/s, eta 544s, kept 10000)
[hamroby-extract] train 15000/223340 (378/s, eta 551s, kept 15000)
[hamroby-extract] train 20000/223340 (382/s, eta 533s, kept 20000)
[hamroby-extract] train 25000/223340 (383/s, eta 518s, kept 25000)
[hamroby-extract] train 30000/223340 (384/s, eta 504s, kept 30000)
[hamroby-extract] train 35000/223340 (385/s, eta 489s, kept 35000)
[hamroby-extract] train 40000/223340 (385/s, eta 476s, kept 40000)
[hamroby-extract] train 45000/223340 (387/s, eta 461s, kept 45000)
[hamroby-extract] train 50000/223340 (388/s, eta 447s, kept 50000)
[hamroby-extract] train 55000/223340 (389/s, eta 432s, kept 55000)
[hamroby-extract] train 60000/223340 (390/s, eta 419s, kept 60000)
[hamroby-extract] train 65000/223340 (390/s, eta 406s, kept 65000)
[hamroby-extract] train 70000/223340 (392/s, eta 392s, kept 70000)
[hamroby-extract] train 75000/223340 (392/s, eta 378s, kept 75000)
[hamroby-extract] train 80000/223340 (393/s, eta 365s, kept 80000)
[hamroby-extract] train 85000/223340 (393/s, eta 352s, kept 85000)
[hamroby-extract] train 90000/223340 (393/s, eta 339s, kept 90000)
[hamroby-extract] train 95000/223340 (393/s, eta 327s, kept 95000)
[hamroby-extract] train 100000/223340 (393/s, eta 314s, kept 100000)
[hamroby-extract] train 105000/223340 (394/s, eta 301s, kept 105000)
[hamroby-extract] train 110000/223340 (394/s, eta 288s, kept 110000)
[hamroby-extract] train 115000/223340 (394/s, eta 275s, kept 115000)
[hamroby-extract] train 120000/223340 (394/s, eta 262s, kept 120000)
[hamroby-extract] train 125000/223340 (394/s, eta 250s, kept 125000)
[hamroby-extract] train 130000/223340 (394/s, eta 237s, kept 130000)
[hamroby-extract] train 135000/223340 (394/s, eta 224s, kept 135000)
[hamroby-extract] train 140000/223340 (394/s, eta 211s, kept 140000)
[hamroby-extract] train 145000/223340 (395/s, eta 198s, kept 145000)
[hamroby-extract] train 150000/223340 (395/s, eta 186s, kept 150000)
[hamroby-extract] train 155000/223340 (395/s, eta 173s, kept 155000)
[hamroby-extract] train 160000/223340 (396/s, eta 160s, kept 160000)
[hamroby-extract] train 165000/223340 (396/s, eta 147s, kept 165000)
[hamroby-extract] train 170000/223340 (396/s, eta 135s, kept 170000)
[hamroby-extract] train 175000/223340 (397/s, eta 122s, kept 175000)
[hamroby-extract] train 180000/223340 (396/s, eta 109s, kept 180000)
[hamroby-extract] train 185000/223340 (396/s, eta 97s, kept 185000)
[hamroby-extract] train 190000/223340 (397/s, eta 84s, kept 190000)
[hamroby-extract] train 195000/223340 (397/s, eta 71s, kept 195000)
[hamroby-extract] train 200000/223340 (397/s, eta 59s, kept 200000)
[hamroby-extract] train 205000/223340 (397/s, eta 46s, kept 205000)
[hamroby-extract] train 210000/223340 (397/s, eta 34s, kept 210000)
[hamroby-extract] train 215000/223340 (397/s, eta 21s, kept 215000)
[hamroby-extract] train 220000/223340 (397/s, eta 8s, kept 220000)
[hamroby-extract] train 223340/223340 (397/s, eta 0s, kept 223340)
[hamroby-extract] eval 5000/14840 (402/s, eta 24s, kept 5000)
[hamroby-extract] eval 10000/14840 (401/s, eta 12s, kept 10000)
[hamroby-extract] eval 14840/14840 (398/s, eta 0s, kept 14840)
[hamroby-extract] usable train_examples=223340 eval_examples=14840
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9496 elapsed=0.5s
[hamroby-extract] step=   50/15000 loss=0.9711 elapsed=2.0s
[hamroby-extract] step=  100/15000 loss=0.4266 elapsed=3.3s
[hamroby-extract] step=  150/15000 loss=0.2695 elapsed=4.6s
[hamroby-extract] step=  200/15000 loss=0.2114 elapsed=6.0s
[hamroby-extract] step=  250/15000 loss=0.1890 elapsed=7.2s
[hamroby-extract] step=  300/15000 loss=0.1849 elapsed=8.7s
[hamroby-extract] step=  350/15000 loss=0.1781 elapsed=10.3s
[hamroby-extract] step=  400/15000 loss=0.1590 elapsed=11.8s
[hamroby-extract] step=  450/15000 loss=0.1557 elapsed=13.1s
[hamroby-extract] step=  500/15000 loss=0.1561 elapsed=14.6s
[hamroby-extract] step=  550/15000 loss=0.1542 elapsed=15.9s
[hamroby-extract] step=  600/15000 loss=0.1423 elapsed=17.2s
[hamroby-extract] step=  650/15000 loss=0.1471 elapsed=18.5s
[hamroby-extract] step=  700/15000 loss=0.1345 elapsed=19.7s
[hamroby-extract] step=  750/15000 loss=0.1374 elapsed=21.1s
[hamroby-extract] step=  800/15000 loss=0.1285 elapsed=22.7s
[hamroby-extract] step=  850/15000 loss=0.1286 elapsed=24.4s
[hamroby-extract] step=  900/15000 loss=0.1390 elapsed=25.9s
[hamroby-extract] step=  950/15000 loss=0.1375 elapsed=27.4s
[hamroby-extract] step= 1000/15000 loss=0.1384 elapsed=28.8s
[hamroby-extract] step= 1050/15000 loss=0.1334 elapsed=30.2s
[hamroby-extract] step= 1100/15000 loss=0.1023 elapsed=31.5s
[hamroby-extract] step= 1150/15000 loss=0.1328 elapsed=32.7s
[hamroby-extract] step= 1200/15000 loss=0.1206 elapsed=34.0s
[hamroby-extract] step= 1250/15000 loss=0.1314 elapsed=35.4s
[hamroby-extract] step= 1300/15000 loss=0.1323 elapsed=36.8s
[hamroby-extract] step= 1350/15000 loss=0.1183 elapsed=38.3s
[hamroby-extract] step= 1400/15000 loss=0.1172 elapsed=39.8s
[hamroby-extract] step= 1450/15000 loss=0.1169 elapsed=41.3s
[hamroby-extract] step= 1500/15000 loss=0.1197 elapsed=42.8s
[hamroby-extract] step= 1550/15000 loss=0.1278 elapsed=44.1s
[hamroby-extract] step= 1600/15000 loss=0.1093 elapsed=45.4s
[hamroby-extract] step= 1650/15000 loss=0.1162 elapsed=46.8s
[hamroby-extract] step= 1700/15000 loss=0.1197 elapsed=48.1s
[hamroby-extract] step= 1750/15000 loss=0.1240 elapsed=49.4s
[hamroby-extract] step= 1800/15000 loss=0.1067 elapsed=50.7s
[hamroby-extract] step= 1850/15000 loss=0.1046 elapsed=52.1s
[hamroby-extract] step= 1900/15000 loss=0.1176 elapsed=53.5s
[hamroby-extract] step= 1950/15000 loss=0.1274 elapsed=55.1s
[hamroby-extract] step= 2000/15000 loss=0.1065 elapsed=56.5s
[hamroby-extract] step= 2050/15000 loss=0.1077 elapsed=57.9s
[hamroby-extract] step= 2100/15000 loss=0.1100 elapsed=59.2s
[hamroby-extract] step= 2150/15000 loss=0.1194 elapsed=60.5s
[hamroby-extract] step= 2200/15000 loss=0.1106 elapsed=61.7s
[hamroby-extract] step= 2250/15000 loss=0.1083 elapsed=63.0s
[hamroby-extract] step= 2300/15000 loss=0.1198 elapsed=64.4s
[hamroby-extract] step= 2350/15000 loss=0.1100 elapsed=65.8s
