[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 230213 + eval 15559 pairs)...
[hamroby-extract] train 5000/230213 (408/s, eta 552s, kept 5000)
[hamroby-extract] train 10000/230213 (411/s, eta 536s, kept 10000)
[hamroby-extract] train 15000/230213 (409/s, eta 526s, kept 15000)
[hamroby-extract] train 20000/230213 (408/s, eta 515s, kept 20000)
[hamroby-extract] train 25000/230213 (408/s, eta 503s, kept 25000)
[hamroby-extract] train 30000/230213 (408/s, eta 491s, kept 30000)
[hamroby-extract] train 35000/230213 (404/s, eta 484s, kept 35000)
[hamroby-extract] train 40000/230213 (402/s, eta 473s, kept 40000)
[hamroby-extract] train 45000/230213 (401/s, eta 462s, kept 45000)
[hamroby-extract] train 50000/230213 (401/s, eta 449s, kept 50000)
[hamroby-extract] train 55000/230213 (402/s, eta 436s, kept 55000)
[hamroby-extract] train 60000/230213 (401/s, eta 425s, kept 60000)
[hamroby-extract] train 65000/230213 (400/s, eta 413s, kept 65000)
[hamroby-extract] train 70000/230213 (401/s, eta 400s, kept 70000)
[hamroby-extract] train 75000/230213 (401/s, eta 387s, kept 75000)
[hamroby-extract] train 80000/230213 (402/s, eta 374s, kept 80000)
[hamroby-extract] train 85000/230213 (402/s, eta 361s, kept 85000)
[hamroby-extract] train 90000/230213 (403/s, eta 348s, kept 90000)
[hamroby-extract] train 95000/230213 (403/s, eta 336s, kept 95000)
[hamroby-extract] train 100000/230213 (403/s, eta 323s, kept 100000)
[hamroby-extract] train 105000/230213 (403/s, eta 311s, kept 105000)
[hamroby-extract] train 110000/230213 (402/s, eta 299s, kept 110000)
[hamroby-extract] train 115000/230213 (402/s, eta 287s, kept 115000)
[hamroby-extract] train 120000/230213 (402/s, eta 274s, kept 120000)
[hamroby-extract] train 125000/230213 (403/s, eta 261s, kept 125000)
[hamroby-extract] train 130000/230213 (402/s, eta 249s, kept 130000)
[hamroby-extract] train 135000/230213 (403/s, eta 236s, kept 135000)
[hamroby-extract] train 140000/230213 (403/s, eta 224s, kept 140000)
[hamroby-extract] train 145000/230213 (404/s, eta 211s, kept 145000)
[hamroby-extract] train 150000/230213 (404/s, eta 199s, kept 150000)
[hamroby-extract] train 155000/230213 (404/s, eta 186s, kept 155000)
[hamroby-extract] train 160000/230213 (405/s, eta 174s, kept 160000)
[hamroby-extract] train 165000/230213 (405/s, eta 161s, kept 165000)
[hamroby-extract] train 170000/230213 (405/s, eta 149s, kept 170000)
[hamroby-extract] train 175000/230213 (405/s, eta 136s, kept 175000)
[hamroby-extract] train 180000/230213 (405/s, eta 124s, kept 180000)
[hamroby-extract] train 185000/230213 (405/s, eta 112s, kept 185000)
[hamroby-extract] train 190000/230213 (406/s, eta 99s, kept 190000)
[hamroby-extract] train 195000/230213 (406/s, eta 87s, kept 195000)
[hamroby-extract] train 200000/230213 (406/s, eta 74s, kept 200000)
[hamroby-extract] train 205000/230213 (406/s, eta 62s, kept 205000)
[hamroby-extract] train 210000/230213 (406/s, eta 50s, kept 210000)
[hamroby-extract] train 215000/230213 (406/s, eta 37s, kept 215000)
[hamroby-extract] train 220000/230213 (407/s, eta 25s, kept 220000)
[hamroby-extract] train 225000/230213 (407/s, eta 13s, kept 225000)
[hamroby-extract] train 230000/230213 (407/s, eta 1s, kept 230000)
[hamroby-extract] train 230213/230213 (407/s, eta 0s, kept 230213)
[hamroby-extract] eval 5000/15559 (397/s, eta 27s, kept 5000)
[hamroby-extract] eval 10000/15559 (405/s, eta 14s, kept 10000)
[hamroby-extract] eval 15000/15559 (407/s, eta 1s, kept 15000)
[hamroby-extract] eval 15559/15559 (407/s, eta 0s, kept 15559)
[hamroby-extract] usable train_examples=230213 eval_examples=15559
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9328 elapsed=0.5s
[hamroby-extract] step=   50/15000 loss=0.9354 elapsed=1.9s
[hamroby-extract] step=  100/15000 loss=0.4029 elapsed=3.1s
[hamroby-extract] step=  150/15000 loss=0.2722 elapsed=4.3s
[hamroby-extract] step=  200/15000 loss=0.2138 elapsed=5.5s
[hamroby-extract] step=  250/15000 loss=0.2036 elapsed=6.7s
[hamroby-extract] step=  300/15000 loss=0.1862 elapsed=7.9s
[hamroby-extract] step=  350/15000 loss=0.1711 elapsed=9.1s
[hamroby-extract] step=  400/15000 loss=0.1568 elapsed=10.7s
[hamroby-extract] step=  450/15000 loss=0.1547 elapsed=12.3s
[hamroby-extract] step=  500/15000 loss=0.1553 elapsed=13.9s
[hamroby-extract] step=  550/15000 loss=0.1457 elapsed=15.3s
[hamroby-extract] step=  600/15000 loss=0.1501 elapsed=16.8s
[hamroby-extract] step=  650/15000 loss=0.1470 elapsed=18.4s
[hamroby-extract] step=  700/15000 loss=0.1323 elapsed=19.9s
[hamroby-extract] step=  750/15000 loss=0.1470 elapsed=21.4s
[hamroby-extract] step=  800/15000 loss=0.1444 elapsed=22.9s
[hamroby-extract] step=  850/15000 loss=0.1423 elapsed=24.4s
[hamroby-extract] step=  900/15000 loss=0.1346 elapsed=25.7s
[hamroby-extract] step=  950/15000 loss=0.1300 elapsed=26.9s
[hamroby-extract] step= 1000/15000 loss=0.1357 elapsed=28.1s
[hamroby-extract] step= 1050/15000 loss=0.1248 elapsed=29.4s
[hamroby-extract] step= 1100/15000 loss=0.1169 elapsed=30.6s
[hamroby-extract] step= 1150/15000 loss=0.1237 elapsed=31.9s
[hamroby-extract] step= 1200/15000 loss=0.1118 elapsed=33.3s
[hamroby-extract] step= 1250/15000 loss=0.1279 elapsed=34.9s
[hamroby-extract] step= 1300/15000 loss=0.1341 elapsed=36.7s
[hamroby-extract] step= 1350/15000 loss=0.1188 elapsed=38.2s
[hamroby-extract] step= 1400/15000 loss=0.1278 elapsed=39.8s
[hamroby-extract] step= 1450/15000 loss=0.1269 elapsed=41.2s
[hamroby-extract] step= 1500/15000 loss=0.1296 elapsed=42.5s
[hamroby-extract] step= 1550/15000 loss=0.1197 elapsed=43.9s
[hamroby-extract] step= 1600/15000 loss=0.1199 elapsed=45.3s
[hamroby-extract] step= 1650/15000 loss=0.1137 elapsed=46.5s
[hamroby-extract] step= 1700/15000 loss=0.1195 elapsed=47.8s
[hamroby-extract] step= 1750/15000 loss=0.1224 elapsed=49.2s
[hamroby-extract] step= 1800/15000 loss=0.1258 elapsed=50.6s
[hamroby-extract] step= 1850/15000 loss=0.1207 elapsed=52.1s
[hamroby-extract] step= 1900/15000 loss=0.1127 elapsed=53.3s
[hamroby-extract] step= 1950/15000 loss=0.1039 elapsed=54.6s
[hamroby-extract] step= 2000/15000 loss=0.1096 elapsed=55.8s
[hamroby-extract] step= 2050/15000 loss=0.1233 elapsed=57.3s
[hamroby-extract] step= 2100/15000 loss=0.1181 elapsed=58.7s
[hamroby-extract] step= 2150/15000 loss=0.1145 elapsed=60.2s
[hamroby-extract] step= 2200/15000 loss=0.1269 elapsed=61.7s
[hamroby-extract] step= 2250/15000 loss=0.1099 elapsed=63.3s
[hamroby-extract] step= 2300/15000 loss=0.1097 elapsed=64.9s
[hamroby-extract] step= 2350/15000 loss=0.1089 elapsed=66.4s
[hamroby-extract] step= 2400/15000 loss=0.1136 elapsed=67.9s
[hamroby-extract] step= 2450/15000 loss=0.1184 elapsed=69.3s
[hamroby-extract] step= 2500/15000 loss=0.1083 elapsed=70.7s
