[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229436 + eval 15316 pairs)...
[hamroby-extract] train 5000/229436 (417/s, eta 539s, kept 5000)
[hamroby-extract] train 10000/229436 (415/s, eta 529s, kept 10000)
[hamroby-extract] train 15000/229436 (413/s, eta 519s, kept 15000)
[hamroby-extract] train 20000/229436 (414/s, eta 505s, kept 20000)
[hamroby-extract] train 25000/229436 (415/s, eta 493s, kept 25000)
[hamroby-extract] train 30000/229436 (416/s, eta 480s, kept 30000)
[hamroby-extract] train 35000/229436 (415/s, eta 469s, kept 35000)
[hamroby-extract] train 40000/229436 (415/s, eta 456s, kept 40000)
[hamroby-extract] train 45000/229436 (416/s, eta 444s, kept 45000)
[hamroby-extract] train 50000/229436 (416/s, eta 431s, kept 50000)
[hamroby-extract] train 55000/229436 (417/s, eta 418s, kept 55000)
[hamroby-extract] train 60000/229436 (417/s, eta 406s, kept 60000)
[hamroby-extract] train 65000/229436 (416/s, eta 395s, kept 65000)
[hamroby-extract] train 70000/229436 (417/s, eta 383s, kept 70000)
[hamroby-extract] train 75000/229436 (415/s, eta 372s, kept 75000)
[hamroby-extract] train 80000/229436 (413/s, eta 361s, kept 80000)
[hamroby-extract] train 85000/229436 (413/s, eta 350s, kept 85000)
[hamroby-extract] train 90000/229436 (412/s, eta 339s, kept 90000)
[hamroby-extract] train 95000/229436 (411/s, eta 327s, kept 95000)
[hamroby-extract] train 100000/229436 (411/s, eta 315s, kept 100000)
[hamroby-extract] train 105000/229436 (410/s, eta 304s, kept 105000)
[hamroby-extract] train 110000/229436 (410/s, eta 291s, kept 110000)
[hamroby-extract] train 115000/229436 (410/s, eta 279s, kept 115000)
[hamroby-extract] train 120000/229436 (410/s, eta 267s, kept 120000)
[hamroby-extract] train 125000/229436 (410/s, eta 255s, kept 125000)
[hamroby-extract] train 130000/229436 (409/s, eta 243s, kept 130000)
[hamroby-extract] train 135000/229436 (409/s, eta 231s, kept 135000)
[hamroby-extract] train 140000/229436 (409/s, eta 219s, kept 140000)
[hamroby-extract] train 145000/229436 (409/s, eta 207s, kept 145000)
[hamroby-extract] train 150000/229436 (409/s, eta 194s, kept 150000)
[hamroby-extract] train 155000/229436 (409/s, eta 182s, kept 155000)
[hamroby-extract] train 160000/229436 (409/s, eta 170s, kept 160000)
[hamroby-extract] train 165000/229436 (409/s, eta 157s, kept 165000)
[hamroby-extract] train 170000/229436 (409/s, eta 145s, kept 170000)
[hamroby-extract] train 175000/229436 (409/s, eta 133s, kept 175000)
[hamroby-extract] train 180000/229436 (409/s, eta 121s, kept 180000)
[hamroby-extract] train 185000/229436 (409/s, eta 109s, kept 185000)
[hamroby-extract] train 190000/229436 (409/s, eta 96s, kept 190000)
[hamroby-extract] train 195000/229436 (409/s, eta 84s, kept 195000)
[hamroby-extract] train 200000/229436 (409/s, eta 72s, kept 200000)
[hamroby-extract] train 205000/229436 (409/s, eta 60s, kept 205000)
[hamroby-extract] train 210000/229436 (409/s, eta 48s, kept 210000)
[hamroby-extract] train 215000/229436 (409/s, eta 35s, kept 215000)
[hamroby-extract] train 220000/229436 (409/s, eta 23s, kept 220000)
[hamroby-extract] train 225000/229436 (409/s, eta 11s, kept 225000)
[hamroby-extract] train 229436/229436 (409/s, eta 0s, kept 229436)
[hamroby-extract] eval 5000/15316 (397/s, eta 26s, kept 5000)
[hamroby-extract] eval 10000/15316 (405/s, eta 13s, kept 10000)
[hamroby-extract] eval 15000/15316 (407/s, eta 1s, kept 15000)
[hamroby-extract] eval 15316/15316 (407/s, eta 0s, kept 15316)
[hamroby-extract] usable train_examples=229436 eval_examples=15316
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9485 elapsed=0.5s
[hamroby-extract] step=   50/15000 loss=0.9193 elapsed=1.9s
[hamroby-extract] step=  100/15000 loss=0.4101 elapsed=3.4s
[hamroby-extract] step=  150/15000 loss=0.2570 elapsed=4.9s
[hamroby-extract] step=  200/15000 loss=0.2374 elapsed=6.5s
[hamroby-extract] step=  250/15000 loss=0.1870 elapsed=7.8s
[hamroby-extract] step=  300/15000 loss=0.1830 elapsed=9.4s
[hamroby-extract] step=  350/15000 loss=0.1687 elapsed=11.1s
[hamroby-extract] step=  400/15000 loss=0.1557 elapsed=12.6s
[hamroby-extract] step=  450/15000 loss=0.1616 elapsed=13.8s
[hamroby-extract] step=  500/15000 loss=0.1459 elapsed=15.1s
[hamroby-extract] step=  550/15000 loss=0.1471 elapsed=16.3s
[hamroby-extract] step=  600/15000 loss=0.1328 elapsed=17.8s
[hamroby-extract] step=  650/15000 loss=0.1452 elapsed=19.1s
[hamroby-extract] step=  700/15000 loss=0.1385 elapsed=20.4s
[hamroby-extract] step=  750/15000 loss=0.1362 elapsed=21.9s
[hamroby-extract] step=  800/15000 loss=0.1324 elapsed=23.2s
[hamroby-extract] step=  850/15000 loss=0.1271 elapsed=24.7s
[hamroby-extract] step=  900/15000 loss=0.1248 elapsed=26.2s
[hamroby-extract] step=  950/15000 loss=0.1350 elapsed=27.7s
[hamroby-extract] step= 1000/15000 loss=0.1224 elapsed=29.1s
[hamroby-extract] step= 1050/15000 loss=0.1182 elapsed=30.6s
[hamroby-extract] step= 1100/15000 loss=0.1145 elapsed=31.9s
[hamroby-extract] step= 1150/15000 loss=0.1199 elapsed=33.4s
[hamroby-extract] step= 1200/15000 loss=0.1254 elapsed=34.8s
[hamroby-extract] step= 1250/15000 loss=0.1263 elapsed=36.2s
[hamroby-extract] step= 1300/15000 loss=0.1397 elapsed=37.6s
[hamroby-extract] step= 1350/15000 loss=0.1227 elapsed=39.0s
[hamroby-extract] step= 1400/15000 loss=0.1157 elapsed=40.5s
[hamroby-extract] step= 1450/15000 loss=0.1270 elapsed=42.1s
[hamroby-extract] step= 1500/15000 loss=0.1212 elapsed=43.5s
[hamroby-extract] step= 1550/15000 loss=0.1200 elapsed=44.8s
[hamroby-extract] step= 1600/15000 loss=0.1152 elapsed=46.0s
[hamroby-extract] step= 1650/15000 loss=0.1356 elapsed=47.2s
[hamroby-extract] step= 1700/15000 loss=0.1138 elapsed=48.5s
[hamroby-extract] step= 1750/15000 loss=0.1140 elapsed=49.8s
[hamroby-extract] step= 1800/15000 loss=0.1324 elapsed=51.1s
[hamroby-extract] step= 1850/15000 loss=0.1125 elapsed=52.3s
[hamroby-extract] step= 1900/15000 loss=0.1225 elapsed=53.5s
[hamroby-extract] step= 1950/15000 loss=0.1192 elapsed=54.8s
[hamroby-extract] step= 2000/15000 loss=0.1049 elapsed=56.0s
[hamroby-extract] step= 2050/15000 loss=0.1187 elapsed=57.3s
[hamroby-extract] step= 2100/15000 loss=0.1134 elapsed=58.5s
[hamroby-extract] step= 2150/15000 loss=0.1202 elapsed=59.8s
[hamroby-extract] step= 2200/15000 loss=0.1183 elapsed=61.3s
[hamroby-extract] step= 2250/15000 loss=0.1122 elapsed=62.7s
[hamroby-extract] step= 2300/15000 loss=0.1029 elapsed=64.0s
[hamroby-extract] step= 2350/15000 loss=0.1114 elapsed=65.4s
[hamroby-extract] step= 2400/15000 loss=0.1213 elapsed=66.8s
[hamroby-extract] step= 2450/15000 loss=0.1066 elapsed=68.0s
[hamroby-extract] step= 2500/15000 loss=0.1217 elapsed=69.4s
[hamroby-extract] step= 2550/15000 loss=0.1184 elapsed=70.6s
[hamroby-extract] step= 2600/15000 loss=0.1122 elapsed=71.8s
[hamroby-extract] step= 2650/15000 loss=0.0990 elapsed=73.3s
[hamroby-extract] step= 2700/15000 loss=0.1202 elapsed=74.8s
[hamroby-extract] step= 2750/15000 loss=0.1069 elapsed=76.2s
[hamroby-extract] step= 2800/15000 loss=0.1075 elapsed=77.7s
[hamroby-extract] step= 2850/15000 loss=0.1090 elapsed=79.2s
[hamroby-extract] step= 2900/15000 loss=0.1017 elapsed=80.7s
[hamroby-extract] step= 2950/15000 loss=0.1046 elapsed=82.0s
[hamroby-extract] step= 3000/15000 loss=0.1054 elapsed=83.7s
[hamroby-extract] step= 3050/15000 loss=0.0974 elapsed=85.3s
[hamroby-extract] step= 3100/15000 loss=0.1124 elapsed=86.6s
[hamroby-extract] step= 3150/15000 loss=0.1087 elapsed=88.1s
[hamroby-extract] step= 3200/15000 loss=0.0984 elapsed=89.5s
[hamroby-extract] step= 3250/15000 loss=0.1094 elapsed=90.9s
[hamroby-extract] step= 3300/15000 loss=0.1036 elapsed=92.4s
[hamroby-extract] step= 3350/15000 loss=0.1116 elapsed=93.8s
[hamroby-extract] step= 3400/15000 loss=0.1067 elapsed=95.1s
[hamroby-extract] step= 3450/15000 loss=0.1014 elapsed=96.5s
[hamroby-extract] step= 3500/15000 loss=0.1195 elapsed=97.8s
[hamroby-extract] step= 3550/15000 loss=0.1057 elapsed=99.0s
[hamroby-extract] step= 3600/15000 loss=0.0973 elapsed=100.4s
[hamroby-extract] step= 3650/15000 loss=0.1154 elapsed=101.8s
[hamroby-extract] step= 3700/15000 loss=0.1030 elapsed=103.4s
[hamroby-extract] step= 3750/15000 loss=0.1022 elapsed=104.8s
[hamroby-extract] step= 3800/15000 loss=0.1035 elapsed=106.0s
[hamroby-extract] step= 3850/15000 loss=0.1023 elapsed=107.6s
[hamroby-extract] step= 3900/15000 loss=0.1107 elapsed=109.0s
[hamroby-extract] step= 3950/15000 loss=0.1090 elapsed=110.3s
[hamroby-extract] step= 4000/15000 loss=0.1020 elapsed=111.7s
[hamroby-extract] step= 4050/15000 loss=0.0998 elapsed=113.1s
[hamroby-extract] step= 4100/15000 loss=0.1191 elapsed=114.5s
[hamroby-extract] step= 4150/15000 loss=0.1032 elapsed=116.1s
[hamroby-extract] step= 4200/15000 loss=0.1071 elapsed=117.6s
[hamroby-extract] step= 4250/15000 loss=0.1047 elapsed=119.1s
[hamroby-extract] step= 4300/15000 loss=0.1172 elapsed=120.5s
[hamroby-extract] step= 4350/15000 loss=0.1005 elapsed=122.0s
[hamroby-extract] step= 4400/15000 loss=0.1037 elapsed=123.4s
[hamroby-extract] step= 4450/15000 loss=0.1024 elapsed=124.7s
[hamroby-extract] step= 4500/15000 loss=0.1031 elapsed=126.1s
[hamroby-extract] step= 4550/15000 loss=0.0996 elapsed=127.5s
[hamroby-extract] step= 4600/15000 loss=0.1161 elapsed=128.8s
[hamroby-extract] step= 4650/15000 loss=0.1021 elapsed=130.0s
[hamroby-extract] step= 4700/15000 loss=0.0968 elapsed=131.3s
[hamroby-extract] step= 4750/15000 loss=0.1008 elapsed=132.7s
[hamroby-extract] step= 4800/15000 loss=0.0961 elapsed=133.9s
[hamroby-extract] step= 4850/15000 loss=0.1076 elapsed=135.2s
[hamroby-extract] step= 4900/15000 loss=0.1101 elapsed=136.4s
[hamroby-extract] step= 4950/15000 loss=0.1036 elapsed=137.6s
[hamroby-extract] step= 5000/15000 loss=0.1025 elapsed=138.9s
[hamroby-extract] step= 5050/15000 loss=0.1050 elapsed=140.0s
[hamroby-extract] step= 5100/15000 loss=0.1007 elapsed=141.3s
[hamroby-extract] step= 5150/15000 loss=0.1018 elapsed=142.7s
[hamroby-extract] step= 5200/15000 loss=0.0979 elapsed=144.0s
[hamroby-extract] step= 5250/15000 loss=0.1040 elapsed=145.3s
[hamroby-extract] step= 5300/15000 loss=0.1017 elapsed=147.0s
[hamroby-extract] step= 5350/15000 loss=0.1033 elapsed=148.8s
[hamroby-extract] step= 5400/15000 loss=0.0954 elapsed=150.2s
[hamroby-extract] step= 5450/15000 loss=0.0936 elapsed=151.6s
[hamroby-extract] step= 5500/15000 loss=0.1088 elapsed=153.2s
[hamroby-extract] step= 5550/15000 loss=0.1064 elapsed=154.5s
[hamroby-extract] step= 5600/15000 loss=0.1072 elapsed=155.9s
[hamroby-extract] step= 5650/15000 loss=0.1077 elapsed=157.5s
[hamroby-extract] step= 5700/15000 loss=0.0974 elapsed=158.8s
[hamroby-extract] step= 5750/15000 loss=0.1045 elapsed=160.3s
[hamroby-extract] step= 5800/15000 loss=0.1010 elapsed=161.6s
[hamroby-extract] step= 5850/15000 loss=0.0995 elapsed=162.8s
[hamroby-extract] step= 5900/15000 loss=0.0920 elapsed=164.0s
[hamroby-extract] step= 5950/15000 loss=0.1082 elapsed=165.3s
[hamroby-extract] step= 6000/15000 loss=0.0986 elapsed=166.6s
[hamroby-extract] step= 6050/15000 loss=0.1031 elapsed=168.0s
[hamroby-extract] step= 6100/15000 loss=0.0969 elapsed=169.5s
[hamroby-extract] step= 6150/15000 loss=0.1035 elapsed=171.0s
[hamroby-extract] step= 6200/15000 loss=0.0984 elapsed=172.7s
[hamroby-extract] step= 6250/15000 loss=0.1027 elapsed=174.0s
[hamroby-extract] step= 6300/15000 loss=0.1027 elapsed=175.3s
[hamroby-extract] step= 6350/15000 loss=0.1002 elapsed=176.4s
[hamroby-extract] step= 6400/15000 loss=0.0986 elapsed=177.7s
[hamroby-extract] step= 6450/15000 loss=0.1082 elapsed=178.9s
[hamroby-extract] step= 6500/15000 loss=0.0988 elapsed=180.2s
[hamroby-extract] step= 6550/15000 loss=0.1020 elapsed=181.6s
[hamroby-extract] step= 6600/15000 loss=0.1065 elapsed=183.2s
[hamroby-extract] step= 6650/15000 loss=0.0947 elapsed=184.8s
[hamroby-extract] step= 6700/15000 loss=0.1135 elapsed=186.3s
[hamroby-extract] step= 6750/15000 loss=0.0917 elapsed=187.9s
[hamroby-extract] step= 6800/15000 loss=0.1187 elapsed=189.4s
[hamroby-extract] step= 6850/15000 loss=0.1011 elapsed=190.8s
[hamroby-extract] step= 6900/15000 loss=0.0962 elapsed=192.1s
[hamroby-extract] step= 6950/15000 loss=0.1019 elapsed=193.4s
[hamroby-extract] step= 7000/15000 loss=0.1088 elapsed=195.0s
