[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 222562 + eval 14754 pairs)...
[hamroby-extract] train 5000/222562 (421/s, eta 517s, kept 5000)
[hamroby-extract] train 10000/222562 (426/s, eta 499s, kept 10000)
[hamroby-extract] train 15000/222562 (428/s, eta 484s, kept 15000)
[hamroby-extract] train 20000/222562 (427/s, eta 474s, kept 20000)
[hamroby-extract] train 25000/222562 (423/s, eta 467s, kept 25000)
[hamroby-extract] train 30000/222562 (422/s, eta 456s, kept 30000)
[hamroby-extract] train 35000/222562 (424/s, eta 443s, kept 35000)
[hamroby-extract] train 40000/222562 (424/s, eta 430s, kept 40000)
[hamroby-extract] train 45000/222562 (425/s, eta 418s, kept 45000)
[hamroby-extract] train 50000/222562 (426/s, eta 405s, kept 50000)
[hamroby-extract] train 55000/222562 (427/s, eta 392s, kept 55000)
[hamroby-extract] train 60000/222562 (426/s, eta 381s, kept 60000)
[hamroby-extract] train 65000/222562 (422/s, eta 373s, kept 65000)
[hamroby-extract] train 70000/222562 (422/s, eta 362s, kept 70000)
[hamroby-extract] train 75000/222562 (422/s, eta 350s, kept 75000)
[hamroby-extract] train 80000/222562 (422/s, eta 338s, kept 80000)
[hamroby-extract] train 85000/222562 (423/s, eta 325s, kept 85000)
[hamroby-extract] train 90000/222562 (422/s, eta 314s, kept 90000)
[hamroby-extract] train 95000/222562 (414/s, eta 308s, kept 95000)
[hamroby-extract] train 100000/222562 (402/s, eta 305s, kept 100000)
[hamroby-extract] train 105000/222562 (386/s, eta 304s, kept 105000)
[hamroby-extract] train 110000/222562 (378/s, eta 298s, kept 110000)
[hamroby-extract] train 115000/222562 (374/s, eta 288s, kept 115000)
[hamroby-extract] train 120000/222562 (373/s, eta 275s, kept 120000)
[hamroby-extract] train 125000/222562 (373/s, eta 262s, kept 125000)
[hamroby-extract] train 130000/222562 (373/s, eta 248s, kept 130000)
[hamroby-extract] train 135000/222562 (372/s, eta 235s, kept 135000)
[hamroby-extract] train 140000/222562 (372/s, eta 222s, kept 140000)
[hamroby-extract] train 145000/222562 (372/s, eta 208s, kept 145000)
[hamroby-extract] train 150000/222562 (373/s, eta 194s, kept 150000)
[hamroby-extract] train 155000/222562 (374/s, eta 181s, kept 155000)
[hamroby-extract] train 160000/222562 (374/s, eta 167s, kept 160000)
[hamroby-extract] train 165000/222562 (374/s, eta 154s, kept 165000)
[hamroby-extract] train 170000/222562 (374/s, eta 140s, kept 170000)
[hamroby-extract] train 175000/222562 (366/s, eta 130s, kept 175000)
[hamroby-extract] train 180000/222562 (358/s, eta 119s, kept 180000)
[hamroby-extract] train 185000/222562 (355/s, eta 106s, kept 185000)
[hamroby-extract] train 190000/222562 (352/s, eta 92s, kept 190000)
[hamroby-extract] train 195000/222562 (351/s, eta 79s, kept 195000)
[hamroby-extract] train 200000/222562 (349/s, eta 65s, kept 200000)
[hamroby-extract] train 205000/222562 (348/s, eta 50s, kept 205000)
[hamroby-extract] train 210000/222562 (347/s, eta 36s, kept 210000)
[hamroby-extract] train 215000/222562 (346/s, eta 22s, kept 215000)
[hamroby-extract] train 220000/222562 (346/s, eta 7s, kept 220000)
[hamroby-extract] train 222562/222562 (345/s, eta 0s, kept 222562)
[hamroby-extract] eval 5000/14754 (315/s, eta 31s, kept 5000)
[hamroby-extract] eval 10000/14754 (324/s, eta 15s, kept 10000)
[hamroby-extract] eval 14754/14754 (324/s, eta 0s, kept 14754)
[hamroby-extract] usable train_examples=222562 eval_examples=14754
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9424 elapsed=0.8s
[hamroby-extract] step=   50/15000 loss=0.9456 elapsed=8.5s
[hamroby-extract] step=  100/15000 loss=0.3829 elapsed=16.6s
[hamroby-extract] step=  150/15000 loss=0.2792 elapsed=24.6s
[hamroby-extract] step=  200/15000 loss=0.2036 elapsed=28.5s
[hamroby-extract] step=  250/15000 loss=0.1826 elapsed=31.9s
[hamroby-extract] step=  300/15000 loss=0.1715 elapsed=35.1s
[hamroby-extract] step=  350/15000 loss=0.1606 elapsed=38.3s
[hamroby-extract] step=  400/15000 loss=0.1505 elapsed=41.6s
[hamroby-extract] step=  450/15000 loss=0.1519 elapsed=44.8s
[hamroby-extract] step=  500/15000 loss=0.1388 elapsed=48.2s
[hamroby-extract] step=  550/15000 loss=0.1397 elapsed=54.0s
[hamroby-extract] step=  600/15000 loss=0.1464 elapsed=61.8s
[hamroby-extract] step=  650/15000 loss=0.1213 elapsed=69.6s
[hamroby-extract] step=  700/15000 loss=0.1336 elapsed=77.5s
[hamroby-extract] step=  750/15000 loss=0.1284 elapsed=85.5s
[hamroby-extract] step=  800/15000 loss=0.1300 elapsed=93.5s
[hamroby-extract] step=  850/15000 loss=0.1294 elapsed=101.2s
[hamroby-extract] step=  900/15000 loss=0.1329 elapsed=108.9s
[hamroby-extract] step=  950/15000 loss=0.1179 elapsed=116.6s
[hamroby-extract] step= 1000/15000 loss=0.1394 elapsed=124.5s
[hamroby-extract] step= 1050/15000 loss=0.1197 elapsed=132.3s
[hamroby-extract] step= 1100/15000 loss=0.1284 elapsed=139.9s
[hamroby-extract] step= 1150/15000 loss=0.1175 elapsed=147.7s
[hamroby-extract] step= 1200/15000 loss=0.1131 elapsed=155.0s
[hamroby-extract] step= 1250/15000 loss=0.1262 elapsed=161.9s
[hamroby-extract] step= 1300/15000 loss=0.1114 elapsed=169.4s
[hamroby-extract] step= 1350/15000 loss=0.1167 elapsed=177.1s
[hamroby-extract] step= 1400/15000 loss=0.1268 elapsed=184.8s
[hamroby-extract] step= 1450/15000 loss=0.1222 elapsed=192.3s
[hamroby-extract] step= 1500/15000 loss=0.1139 elapsed=200.3s
[hamroby-extract] step= 1550/15000 loss=0.1340 elapsed=207.9s
[hamroby-extract] step= 1600/15000 loss=0.1095 elapsed=215.5s
[hamroby-extract] step= 1650/15000 loss=0.1167 elapsed=222.9s
[hamroby-extract] step= 1700/15000 loss=0.1160 elapsed=230.5s
[hamroby-extract] step= 1750/15000 loss=0.1030 elapsed=238.1s
[hamroby-extract] step= 1800/15000 loss=0.1150 elapsed=245.7s
[hamroby-extract] step= 1850/15000 loss=0.1160 elapsed=253.8s
[hamroby-extract] step= 1900/15000 loss=0.1071 elapsed=261.7s
[hamroby-extract] step= 1950/15000 loss=0.1089 elapsed=269.5s
[hamroby-extract] step= 2000/15000 loss=0.1126 elapsed=276.9s
[hamroby-extract] step= 2050/15000 loss=0.1118 elapsed=284.9s
[hamroby-extract] step= 2100/15000 loss=0.1227 elapsed=292.4s
[hamroby-extract] step= 2150/15000 loss=0.1136 elapsed=300.1s
[hamroby-extract] step= 2200/15000 loss=0.1135 elapsed=307.6s
[hamroby-extract] step= 2250/15000 loss=0.1131 elapsed=315.2s
[hamroby-extract] step= 2300/15000 loss=0.1185 elapsed=322.5s
[hamroby-extract] step= 2350/15000 loss=0.1146 elapsed=330.0s
